Num,Timestamp,Current_J0,Temperature_T0,Current_J1,Temperature_J1,Current_J2,Temperature_J2,Current_J3,Temperature_J3,Current_J4,Temperature_J4,Current_J5,Temperature_J5,Speed_J0,Speed_J1,Speed_J2,Speed_J3,Speed_J4,Speed_J5,Tool_current,cycle ,Robot_ProtectiveStop,grip_lost,
1,2025-02-05T08:00:01.667Z,0.323938741,27.9818,-2.285430516,30.4993,3.292575461,31.4956,-0.768427129,35.0316,-0.167036738,37.0274,1.555873241,36.5425,0.383717365,-0.00958831,0.0,0.0,-0.290439067,0.0,0.077122453,1,False,False,
2,2025-02-05T08:00:03.535Z,0.23497243,28.0128,-4.010750019,30.5168,-2.182376677,31.5437,-1.035004063,35.0381,-0.699165385,37.046,0.290959878,36.5805,0.0,0.0,0.0,0.0,0.0,0.000284689,0.076834259,1,False,False,
3,2025-02-05T08:00:04.699Z,0.070958641,28.0155,-3.282288504,30.5506,-0.826651166,31.5277,-1.279208172,35.0756,-0.1500211,37.0824,-0.579982845,36.5886,-0.007559235,-9.6462e-05,0.0,0.0,0.0,0.0,0.112784173,1,False,False,
4,2025-02-05T08:00:06.061Z,0.13967357,28.0372,-4.258685749,30.5633,-2.16800142,31.5253,1.38296427,35.0943,0.227067174,37.1283,-0.086827283,36.6162,0.0,0.0,0.0,0.0,0.0,0.000853922,0.080483445,1,False,False,
5,2025-02-05T08:00:08.015Z,0.288951413,28.0755,-2.606786018,30.5649,-1.558299804,31.5093,-0.031213134,35.1358,1.208286543,37.1746,0.727114146,36.6022,0.0,-0.008519107,0.0,-0.007682619,0.165631716,0.0,0.099633177,1,False,False,
6,2025-02-05T08:00:09.191Z,-0.114195449,28.0709,-2.610952374,30.5498,-0.298515923,31.5335,-1.446674028,35.1318,0.943875272,37.218,0.261817767,36.6424,-0.000555701,0.0,0.0,0.180697803,0.0,0.0,0.108070548,1,False,False,
7,2025-02-05T08:00:10.597Z,-1.65136418,28.0704,-1.294578598,30.5473,-0.999389241,31.5781,-0.809241357,35.1428,0.116824637,37.2583,-1.212466488,36.6609,0.0,-0.005014155,-0.001792342,0.0,0.0,0.0,0.072872596,1,False,False,
8,2025-02-05T08:00:12.199Z,-0.48019206,28.0856,-1.521575043,30.587,-0.727139569,31.5691,-1.106827675,35.1901,0.487065158,37.2439,0.138696809,36.6539,0.0,0.007921826,0.484322495,-0.003639931,0.0,-0.196054077,0.07,1,False,False,
9,2025-02-05T08:00:13.186Z,0.205699388,28.0805,-1.933169153,30.5856,-1.093903022,31.6145,-0.7418534,35.2317,-1.053461601,37.2855,-0.439361102,36.6598,-0.171357258,-0.401138635,0.0,0.0,0.0,0.0,0.088863256,1,False,False,
10,2025-02-05T08:00:15.173Z,-0.073125843,28.1197,-4.204614248,30.572,-0.972136583,31.6241,0.989151574,35.2311,-0.169744922,37.2657,0.381930352,36.6938,-0.017355885,-0.584339019,0.0,0.0,0.0,0.005232392,0.096865479,1,False,False,
11,2025-02-05T08:00:17.184Z,-1.050062762,28.1163,-1.011794081,30.5634,-2.559375353,31.6601,-0.191829914,35.2235,-0.609303036,37.2746,-0.449709052,36.6863,0.0,0.0,0.0,0.0,0.0,-0.005470084,0.07,1,False,False,
